enzyme_id,compound_id
EC1.13.12.16,C00088
EC1.13.12.2,C00047
EC1.13.12.2,C00990
EC1.13.12.23,C12457
EC1.13.12.23,C12458
EC1.13.12.3,C00078
EC1.13.12.3,C02693
EC1.13.12.4,C00186
EC1.13.12.9,C02505
EC1.13.99.1,C00137
EC1.13.99.1,C00191
EC1.14.11.17,C00245
EC1.14.11.17,C00094
EC1.14.11.17,C06735
EC1.14.11.2,C00148
EC1.14.11.2,C01157
EC1.14.11.21,C06656
EC1.14.11.21,C06657
EC1.14.11.21,C06658
EC1.14.11.21,C06659
EC1.14.11.21,C06660
EC1.14.11.26,C06565
EC1.14.11.26,C03112
EC1.14.11.35,C20404
EC1.14.11.35,C20403
EC1.14.11.36,C20399
EC1.14.11.36,C20397
EC1.14.11.46,C03557
EC1.14.11.46,C05678
EC1.14.11.52,C12112
EC1.14.11.52,C21293
EC1.14.11.55,C06231
EC1.14.11.55,C16432
EC1.14.11.57,C00148
EC1.14.11.57,C01157
EC1.14.11.64,C00042
EC1.14.11.64,C00489
EC1.14.11.64,C03196
EC1.14.11.71,C20396
EC1.14.11.71,C06455
EC1.14.12.1,C00108
EC1.14.12.1,C00090
EC1.14.12.10,C00180
EC1.14.12.10,C06321
EC1.14.12.10,C02359
EC1.14.12.10,C16482
EC1.14.12.10,C16481
EC1.14.12.10,C02364
EC1.14.12.10,C16478
EC1.14.12.10,C16479
EC1.14.12.10,C02371
EC1.14.12.10,C16480
EC1.14.12.11,C06790
EC1.14.12.11,C01455
EC1.14.12.11,C04592
EC1.14.12.12,C07715
EC1.14.12.12,C06711
EC1.14.12.12,C07721
EC1.14.12.12,C07111
EC1.14.12.12,C07083
EC1.14.12.12,C11348
EC1.14.12.12,C07113
EC1.14.12.12,C07189
EC1.14.12.12,C14082
EC1.14.12.12,C14083
EC1.14.12.12,C02909
EC1.14.12.12,C14104
EC1.14.12.12,C14098
EC1.14.12.12,C14102
EC1.14.12.12,C14315
EC1.14.12.12,C16203
EC1.14.12.12,C07535
EC1.14.12.12,C18276
EC1.14.12.12,C00829
EC1.14.12.12,C04314
EC1.14.12.15,C06337
EC1.14.12.15,C06318
EC1.14.12.18,C06584
EC1.14.12.18,C06585
EC1.14.12.18,C06588
EC1.14.12.18,C06589
EC1.14.12.19,C00423
EC1.14.12.19,C12622
EC1.14.12.19,C05629
EC1.14.12.19,C11588
EC1.14.12.23,C06813
EC1.14.12.23,C00090
EC1.14.12.26,C07092
EC1.14.12.26,C07093
EC1.14.12.26,C06594
EC1.14.12.26,C12832
EC1.14.12.26,C06990
EC1.14.12.26,C12837
EC1.14.12.3,C01407
EC1.14.12.3,C04091
EC1.14.12.7,C01606
EC1.14.12.7,C04783
EC1.14.13.1,C03203
EC1.14.13.1,C03012
EC1.14.13.1,C14088
EC1.14.13.1,C02923
EC1.14.13.1,C14109
EC1.14.13.1,C14110
EC1.14.13.1,C14103
EC1.14.13.1,C06730
EC1.14.13.1,C00805
EC1.14.13.1,C00090
EC1.14.13.10,C03056
EC1.14.13.10,C03458
EC1.14.13.111,C11145
EC1.14.13.111,C00094
EC1.14.13.113,C00366
EC1.14.13.113,C11821
EC1.14.13.114,C01020
EC1.14.13.114,C01059
EC1.14.13.127,C11457
EC1.14.13.127,C04044
EC1.14.13.127,C12621
EC1.14.13.127,C12623
EC1.14.13.128,C16353
EC1.14.13.128,C00385
EC1.14.13.148,C00565
EC1.14.13.148,C01104
EC1.14.13.149,C00582
EC1.14.13.149,C20062
EC1.14.13.154,C06653
EC1.14.13.154,C01912
EC1.14.13.154,C06633
EC1.14.13.154,C06616
EC1.14.13.163,C19631
EC1.14.13.163,C00232
EC1.14.13.163,C01059
EC1.14.13.167,C00870
EC1.14.13.167,C00472
EC1.14.13.168,C00331
EC1.14.13.168,C00954
EC1.14.13.170,C20400
EC1.14.13.170,C20399
EC1.14.13.171,C20400
EC1.14.13.171,C20402
EC1.14.13.172,C00805
EC1.14.13.172,C00628
EC1.14.13.178,C16358
EC1.14.13.178,C00385
EC1.14.13.178,C07481
EC1.14.13.178,C07480
EC1.14.13.178,C07130
EC1.14.13.178,C16357
EC1.14.13.178,C13747
EC1.14.13.178,C16353
EC1.14.13.179,C07481
EC1.14.13.179,C13747
EC1.14.13.179,C07130
EC1.14.13.179,C16358
EC1.14.13.179,C07480
